Tmix,s	Tmix,days	Voltage,V	Power,W	Heat,J	Power/SCM,W/g	Heat/SCM,J/g
5335	0.06174768518518518	0.01888	0.2245	2116.0	0.002953375151627437	27.8367118968537
5395	0.06244212962962963	0.01865	0.2218	2130.0	0.002917855717732585	28.02088673927145
5455	0.06313657407407407	0.01842	0.219	2143.0	0.002881020749249036	28.19190623580221
5515	0.06383101851851852	0.01821	0.2165	2156.0	0.002848132384531581	28.36292573233298
5575	0.06452546296296297	0.01799	0.214	2169.0	0.002815244019814126	28.53394522886374
5635	0.06521990740740741	0.01778	0.2115	2182.0	0.002782355655096672	28.7049647253945
5695	0.06591435185185185	0.01758	0.2091	2194.0	0.002750782824967915	28.86282887603829
5755	0.06660879629629629	0.01738	0.2067	2207.0	0.002719209994839158	29.03384837256905
5815	0.06730324074074075	0.01719	0.2044	2219.0	0.0026889526992991	29.19171252321284
5875	0.06799768518518519	0.01699	0.2021	2231.0	0.002658695403759042	29.34957667385662
5935	0.06869212962962963	0.0168	0.1999	2243.0	0.002629753642807682	29.5074408245004
5995	0.06938657407407407	0.01662	0.1977	2255.0	0.002600811881856321	29.66530497514418
6055	0.07008101851851851	0.01644	0.1955	2267.0	0.002571870120904961	29.82316912578797
6115	0.07077546296296296	0.01626	0.1934	2279.0	0.002544243894542299	29.98103327643175
6175	0.07146990740740741	0.01608	0.1913	2290.0	0.002516617668179637	30.12574208118855
6235	0.07216435185185185	0.01591	0.1892	2302.0	0.002488991441816975	30.28360623183233
6295	0.0728587962962963	0.01574	0.1872	2313.0	0.002462680750043012	30.42831503658913
6355	0.07355324074074074	0.01557	0.1852	2324.0	0.002436370058269048	30.57302384134593
6415	0.07424768518518518	0.01541	0.1834	2335.0	0.002412690435672481	30.71773264610274
6475	0.07494212962962964	0.01526	0.1815	2346.0	0.002387695278487215	30.86244145085954
6535	0.07563657407407408	0.01511	0.1798	2357.0	0.002365331190479345	31.00715025561634
6595	0.07633101851851852	0.01497	0.1781	2368.0	0.002342967102471476	31.15185906037314
6655	0.07702546296296296	0.01483	0.1764	2378.0	0.002320603014463607	31.28341251924295
6715	0.0777199074074074	0.01469	0.1748	2389.0	0.002299554461044436	31.42812132399976
6775	0.07841435185185185	0.01456	0.1733	2399.0	0.002279821442213963	31.55967478286957
6835	0.0791087962962963	0.01444	0.1717	2410.0	0.002258772888794792	31.70438358762638
6895	0.07980324074074074	0.01431	0.1703	2420.0	0.002240355404553018	31.83593704649619
6955	0.08049768518518519	0.01419	0.1688	2430.0	0.002220622385722545	31.96749050536602
7015	0.08119212962962963	0.01407	0.1674	2440.0	0.00220220490148077	32.09904396423583
7075	0.08188657407407407	0.01396	0.166	2450.0	0.002183787417238995	32.23059742310565
7135	0.08258101851851851	0.01384	0.1647	2460.0	0.002166685467585919	32.36215088197547
7195	0.08327546296296297	0.01373	0.1633	2470.0	0.002148267983344144	32.49370434084529
7255	0.08396990740740741	0.01362	0.1621	2480.0	0.002132481568279766	32.62525779971511
7315	0.08466435185185185	0.01351	0.1608	2490.0	0.00211537961862669	32.75681125858493
7375	0.0853587962962963	0.01341	0.1595	2499.0	0.002098277668973613	32.87520937156776
7435	0.08605324074074074	0.01331	0.1584	2509.0	0.002083806788497933	33.00676283043759
7495	0.08674768518518519	0.01321	0.1572	2518.0	0.002068020373433555	33.12516094342043
7555	0.08744212962962963	0.01313	0.1562	2528.0	0.002054865027546573	33.25671440229024
7615	0.08813657407407408	0.01304	0.1552	2537.0	0.002041709681659591	33.37511251527308
7675	0.08883101851851852	0.01296	0.1542	2546.0	0.002028554335772609	33.49351062825591
7735	0.08952546296296296	0.01287	0.1532	2555.0	0.002015398989885627	33.61190874123875
7795	0.0902199074074074	0.0128	0.1523	2565.0	0.002003559178587343	33.74346220010857
7855	0.09091435185185186	0.01272	0.1513	2574.0	0.001990403832700361	33.86186031309141
7915	0.0916087962962963	0.01264	0.1504	2583.0	0.001978564021402078	33.98025842607424
7975	0.09230324074074074	0.01256	0.1494	2592.0	0.001965408675515096	34.09865653905708
8035	0.09299768518518518	0.01248	0.1485	2601.0	0.001953568864216812	34.21705465203992
8095	0.09369212962962963	0.0124	0.1476	2610.0	0.001941729052918528	34.33545276502276
8155	0.09438657407407407	0.01232	0.1467	2618.0	0.001929889241620245	34.44069553211861
8215	0.09508101851851852	0.01224	0.1457	2627.0	0.001916733895733263	34.55909364510145
8275	0.09577546296296297	0.01217	0.1448	2636.0	0.001904894084434979	34.67749175808429
8335	0.09646990740740741	0.01209	0.1439	2644.0	0.001893054273136695	34.78273452518014
8395	0.09716435185185185	0.01201	0.143	2653.0	0.001881214461838411	34.90113263816298
8455	0.09785879629629629	0.01194	0.1421	2662.0	0.001869374650540128	35.01953075114582
8515	0.09855324074074075	0.01187	0.1412	2670.0	0.001857534839241844	35.12477351824167
8575	0.09924768518518519	0.01179	0.1403	2679.0	0.001845695027943561	35.24317163122451
8635	0.09994212962962963	0.01172	0.1395	2687.0	0.001835170751233975	35.34841439832037
8695	0.1006365740740741	0.01165	0.1387	2695.0	0.001824646474524389	35.45365716541622
8755	0.1013310185185185	0.01158	0.1378	2704.0	0.001812806663226106	35.57205527839906
8815	0.102025462962963	0.01151	0.137	2712.0	0.00180228238651652	35.67729804549491
8875	0.1027199074074074	0.01145	0.1363	2720.0	0.001793073644395633	35.78254081259077
8935	0.1034143518518519	0.01138	0.1355	2728.0	0.001782549367686047	35.88778357968662
8995	0.1041087962962963	0.01132	0.1348	2736.0	0.00177334062556516	35.99302634678248
9055	0.1048032407407407	0.01127	0.1341	2744.0	0.001764131883444273	36.09826911387833
9115	0.1054976851851852	0.01121	0.1334	2752.0	0.001754923141323385	36.20351188097418
